3552	7	50	251	10	44.5	183	Chittagong	A	A	0	A	A	0	50	50
3553	6	50	297	10	39.5	173	Dhaka	A	A	0	B	A	0	50	50
3554	6	50	317	10	47.1	292	Colombo(RPS)	A	A	0	B	A	0	50	50
3555	8	50	256	8	50	235	Dhaka	A	A	0	A	A	0	50	50
3557	2	34.2	186	10	43	185	Colombo(RPS)	A	A	0	B	B	1	50	50
3561	8	35	242	5	33.4	236	Hambantota	A	B	1	A	A	0	35	35
3563	4	49.4	267	10	50	265	Colombo(RPS)	A	A	0	B	B	0	50	50
3564	7	50	246	7	49.3	250	Dubai(DSC)	N	B	0	B	A	0	50	50
3565	10	49	239	5	49.1	240	Pallekele	A	B	0	B	A	0	50	50
3566	6	46	255	10	48.3	252	Sharjah	N	A	0	B	B	0	50	50
3569	6	50	302	10	45.5	215	Colombo(RPS)	A	A	0	A	A	1	50	50
3570	5	50	299	8	50	292	Abu_Dhabi	N	A	0	A	A	0	50	50
3571	4	50	275	10	43.3	207	Abu_Dhabi	N	A	0	A	A	1	50	50
3574	7	43	219	9	50	218	Christchurch	A	A	0	B	B	0	50	50
3577	10	50	248	4	47.4	252	Hamilton	A	B	0	A	A	0	50	50
3578	7	39.5	235	10	47.5	234	Sydney	A	A	0	B	B	0	50	50
3579	8	48.2	279	10	28.2	164	Durban	A	A	1	A	A	0	48.2	32
3582	6	49	269	8	50	267	Melbourne	A	A	0	B	B	0	50	50
3585	6	48.1	280	10	49.3	276	Nelson	A	A	0	B	B	0	50	50
3589	7	49.5	304	8	50	303	Hobart	A	A	0	A	B	0	50	50
3591	8	50	262	9	48.3	266	Port_Elizabeth	A	B	0	B	A	0	50	50
3594	10	45.2	253	6	50	287	Wellington	A	B	0	B	B	0	50	50
3595	7	46.5	201	10	48.1	200	Perth	N	A	0	A	B	0	50	50
3596	3	39.3	213	10	45.3	210	Wellington	A	A	0	A	B	1	50	50
3601	4	50	339	10	48.2	277	Hamilton	N	A	0	B	A	0	50	50
3602	7	50	300	10	47	224	Adelaide	N	A	0	A	A	0	50	50
3603	6	45.5	307	7	50	304	Nelson	N	A	0	A	B	0	50	50
3609	10	49.4	232	6	48.2	236	Dunedin	N	B	0	B	A	0	50	50
3615	10	47	240	1	50	332	Melbourne	N	B	0	B	B	0	50	50
